grid_latitude,grid_longitude,weathercode,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,Number of Sites Reporting,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,month,weekday,season,month_sin,month_cos,weekday_sin,weekday_cos,temp_range,wind_dir_sin,wind_dir_cos,AQI
42.448944,-76.498665,3,2.8,10.9,-4.4,40549.32,36000.0,0.0,0.0,0.0,0.0,4.9,13.7,16.66,1.0,36.0,33.0,44.0,38.0,37.666666666666664,37.0,3.5590260840104047,3.0,-2.0,3,4,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,15.3,0.39073112848927377,-0.9205048534524404,37.0
42.448944,-76.498665,53,6.2,8.5,4.1,40721.68,0.0,4.4,4.4,0.0,8.0,4.25,14.9,2.54,1.0,37.0,36.0,33.0,35.0,35.333333333333336,36.857142857142854,3.5321651258385764,1.0,2.0,3,5,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,4.4,0.8090169943749475,-0.587785252292473,34.0
42.448944,-76.498665,45,8.9,11.4,7.1,40894.46,7200.0,0.0,0.0,0.0,0.0,1.91,4.4,7.2,1.0,34.0,37.0,36.0,35.0,35.666666666666664,36.714285714285715,3.6384193323605523,-3.0,-1.0,3,6,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,4.300000000000001,-0.1736481776669304,0.984807753012208,31.0
42.448944,-76.498665,2,11.8,20.7,3.8,41067.53,36000.0,0.0,0.0,0.0,0.0,5.39,13.1,16.6,1.0,31.0,34.0,37.0,38.0,34.0,36.142857142857146,4.220133150686549,-3.0,-7.0,3,0,1,1.0,6.123233995736766e-17,0.0,1.0,16.9,0.5150380749100544,-0.8571673007021122,41.0
42.448944,-76.498665,45,11.3,13.2,9.1,41240.76,4909.43,0.0,0.0,0.0,0.0,4.75,15.4,7.96,1.0,41.0,31.0,34.0,44.0,35.333333333333336,36.57142857142857,4.577377082170609,10.0,-3.0,3,1,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,4.1,0.7193398003386511,-0.6946583704589974,33.0
42.448944,-76.498665,63,10.2,13.9,6.3,41414.03,0.0,7.8,7.8,0.0,10.0,4.31,8.5,1.48,1.0,33.0,41.0,31.0,33.0,35.0,35.0,3.3166247903553687,-8.0,0.0,3,2,1,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,7.6000000000000005,0.3090169943749474,0.9510565162951535,22.0
42.448944,-76.498665,53,4.7,8.0,1.5,41587.22,3600.0,1.8,1.8,0.0,3.0,4.66,9.2,6.28,1.0,22.0,33.0,41.0,36.0,32.0,33.42857142857143,5.968169536721242,-11.0,-14.0,3,3,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,6.5,-0.7986355100472932,0.6018150231520479,32.0
42.448944,-76.498665,3,6.4,15.5,-1.4,41760.2,37082.6,0.0,0.0,0.0,0.0,4.03,13.9,18.27,1.0,32.0,22.0,33.0,37.0,29.0,32.857142857142854,5.871642911161263,10.0,-5.0,3,4,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,16.9,0.7193398003386511,-0.6946583704589974,36.0
42.448944,-76.498665,61,6.7,8.9,5.3,41932.86,0.0,11.0,11.0,0.0,13.0,7.39,20.7,4.35,1.0,36.0,32.0,22.0,34.0,30.0,32.714285714285715,5.7652489311473,4.0,2.0,3,5,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3.6000000000000005,0.6293203910498374,-0.7771459614569709,35.0
42.448944,-76.498665,73,2.9,5.2,-1.2,42105.08,3600.0,6.4,5.1,0.91,10.0,7.38,16.9,5.88,1.0,35.0,36.0,32.0,31.0,34.333333333333336,32.857142857142854,5.814595756329382,-1.0,4.0,3,6,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,6.4,-0.8910065241883679,0.45399049973954664,35.0
