State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
New York,Tompkins,36,109,2024-10-06,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-07,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-08,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-09,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-10,18,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-11,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-12,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-13,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-14,19,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-15,24,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-16,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-17,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-18,39,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-19,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-20,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-21,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-24,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-25,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-26,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-27,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-28,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-29,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-30,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-10-31,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-01,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-02,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-03,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-04,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-07,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-08,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-09,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-10,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-11,23,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-12,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-13,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-14,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-15,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-16,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-17,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-18,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-19,20,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-20,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-21,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-27,24,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-28,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-29,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-11-30,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-01,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-02,24,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-03,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-04,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-05,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-06,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-07,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-08,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-09,23,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-10,19,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-11,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-12,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-13,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-14,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-15,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-16,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-17,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-18,20,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-19,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-20,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-21,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-22,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-23,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-24,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-25,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-26,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-27,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-28,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-29,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-30,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-12-31,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2025-01-01,30,Good,Ozone,36-109-9991,1
